gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
ABCC11,ENSG00000121270,Breast,Breast cancer,,,,,,Myoepithelial,"Myoepithelial(2.216), Tumor(2.164), Macrophage_Mono(0.118)",0,12.4,0.529,0.702,Epithelial,2.164,2.216,0.07,0.071
ACTA2,ENSG00000107796,Breast+IO,Smooth muscle cells,Stromal Cell,Tumor:myoepithelial; Endothelial:pericyte_mural; CAF/Adipo:myCAF; CAF/Adipo:pericyte_mural,CAF/Adipo; Endothelial; Tumor,myCAF; myoepithelial; pericyte_mural,myoepithelial; myCAF; Pericyte/mural,Myoepithelial,"Myoepithelial(4.005), Pericyte(3.947), Endothelial(3.667)",4,42.8,2.062,1.974,Epithelial,2.88,4.005,1.311,2.705
ACTG2,ENSG00000163017,Breast,Breast myoepithelial cells,,Tumor:myoepithelial,Tumor,myoepithelial,myoepithelial,Myoepithelial,"Myoepithelial(3.124), Tumor(2.065), Endothelial(0.958)",1,24.9,1.042,0.666,Epithelial,2.065,3.124,0.791,0.657
ADAM9,ENSG00000168615,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.89), Tumor(2.878), Macrophage_Mono(2.454)",0,35.9,1.541,0.982,Epithelial,2.878,2.89,1.02,1.441
ADGRE5,ENSG00000123146,Breast,Dendritic cells,,,,,,Macrophage_Mono,"Macrophage_Mono(1.506), T_NK(1.472), Dendritic(1.425)",0,21.8,0.939,0.331,Immune,0.416,0.382,1.35,0.66
ADH1B,ENSG00000196616,Breast,Adipocytes,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(1.764), CAF_Fibroblast(0.439), Pericyte(0.343)",1,6.4,0.277,0.116,Stroma,0.152,0.158,0.189,0.528
ADIPOQ,ENSG00000181092,Breast,Adipocytes,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(0.938), Macrophage_Mono(0.088), Myoepithelial(0.084)",1,2.1,0.092,0.049,Stroma,0.072,0.084,0.068,0.151
AGR3,ENSG00000173467,Breast,Breast glandular cells,,Tumor:luminal_mature; Tumor:cancer_specific,Tumor,cancer_specific; luminal_mature,,Myoepithelial,"Myoepithelial(1.799), Tumor(1.527), Macrophage_Mono(0.084)",2,9.3,0.383,0.45,Epithelial,1.527,1.799,0.058,0.059
AIF1,ENSG00000204472,Breast+IO,Macrophages,Macrophage,Myeloid/DC:core_macrophage,Myeloid/DC,core_macrophage,,Macrophage_Mono,"Macrophage_Mono(3.142), Dendritic(2.626), T_NK(1.038)",1,22.5,1.011,0.442,Immune,0.503,0.464,1.457,0.665
AKR1C1,ENSG00000187134,Breast,Smooth muscle cells,,,,,,Adipocyte,"Adipocyte(0.704), Myoepithelial(0.585), Tumor(0.569)",0,8.5,0.332,0.185,Epithelial,0.569,0.585,0.171,0.43
