Barcode,Cluster
aaaaakem-1,2
aaaabcik-1,9
aaaabedp-1,25
aaaabijn-1,15
aaaalcab-1,9
aaaaldkm-1,9
aaaanaon-1,7
aaabehec-1,2
aaabgldd-1,1
aaabihbl-1,25
aaacacca-1,2
aaaceiam-1,2
aaaclfih-1,1
aaadapgi-1,8
aaadbbma-1,12
aaadjfhg-1,8
aaaeaail-1,3
aaaedifd-1,25
aaaepdof-1,25
aaafhgmp-1,11
aaafifdb-1,9
aaagiaff-1,25
aaagjcpf-1,8
aaagllcj-1,25
aaaglmhi-1,9
aaagpiel-1,11
aaahbokg-1,14
aaahhhdh-1,2
aaahkhia-1,2
aaahlghd-1,2
aaahlhgp-1,19
aaahmeio-1,7
aaaiaffi-1,12
aaaicohe-1,6
aaaimpjn-1,6
aaaiplda-1,25
aaajlapc-1,2
aaajobbh-1,2
aaakgopc-1,5
aaakhihm-1,16
aaaklohj-1,2
aaalgaob-1,7
aaalheod-1,7
aaaljnff-1,8
aaalkdmh-1,7
aaalmoef-1,7
aaalofkm-1,2
aaamckjj-1,8
aaamlbno-1,7
aaamnbgf-1,1
aaanfpnf-1,25
aaaoakgk-1,25
aaaocila-1,2
aaaocndi-1,7
aaaodofj-1,14
aaaofhio-1,1
aaaoiack-1,10
aaapbbnk-1,3
aaapbmmp-1,8
aaapdkef-1,1
aaapdopd-1,1
aaapiiei-1,3
aaapnaol-1,14
aabaagbj-1,3
aababpdo-1,25
aabacfho-1,1
aabajcmb-1,3
aabamefc-1,24
aabancpg-1,14
aabbpeka-1,14
aabcaenk-1,9
aabcbfcj-1,20
aabcfjal-1,1
aabcgnlh-1,1
aabcnikj-1,14
aabddnfm-1,14
aabeamhc-1,10
aabeedhk-1,14
aabefdml-1,1
aabeihlb-1,14
aabeinmg-1,3
aabfaocd-1,1
aabfbmeh-1,3
aabffdob-1,3
aabfpbpp-1,2
aabgbgae-1,14
aabgcndm-1,2
aabgcohc-1,10
aabgffec-1,1
aabgihgi-1,2
aabgmpaj-1,3
aabhbbke-1,14
aabhddfc-1,2
aabhekeb-1,1
aabhknnk-1,3
aabhlnfi-1,3
aabhofgp-1,14
aabiapgn-1,2
aabijbac-1,10
aabilemb-1,3
aabinmpo-1,3
aabjcjjd-1,7
aabjeopp-1,14
aabjkbma-1,14
aabjkcki-1,14
aabjooka-1,1
aabkaghj-1,10
aabkalgh-1,10
aabkcpbg-1,8
aabkgkol-1,12
aablbfae-1,8
aablclcm-1,3
aabmeoeo-1,10
aabmkaca-1,3
aabnomfa-1,3
aabnpgeh-1,10
aabobnmi-1,3
aabofokn-1,14
aabpenlb-1,1
aabpffeb-1,8
aacaelcp-1,3
aacafade-1,14
aacakfol-1,14
aacbapbk-1,1
aacbdpgg-1,9
aacbfbcj-1,9
aacbmfjp-1,10
aacccoll-1,3
aaccflhm-1,10
aacchaeo-1,3
aacckdll-1,14
aacddhni-1,1
aacdijbd-1,12
aacdjbnp-1,2
aacdlepo-1,10
aacdlmce-1,3
aacedmao-1,10
aacefdmj-1,3
aacencdl-1,2
aaceodbp-1,14
aacffloe-1,15
aacfkfff-1,7
aacfnblm-1,3
aacfnmfn-1,7
aacgdfea-1,7
aacgfcfc-1,9
aacgffil-1,10
aacghopi-1,10
aachbjdj-1,12
aachocpl-1,3
aaciblah-1,2
aacijlhd-1,3
aaciohhg-1,14
aacipbgp-1,1
aacjceme-1,9
aacjooeb-1,3
aackcnpe-1,3
aackikce-1,3
aaclplcn-1,3
aaclpmcd-1,1
aacmommb-1,3
aacmpcne-1,3
aacnbpgk-1,3
aacndfdj-1,10
aacnecbi-1,14
aacnimpk-1,2
aacnjnhj-1,7
aacnkkaj-1,10
aacocljk-1,14
aacodeec-1,7
aacoeobb-1,3
aacokjgk-1,9
aacoklfn-1,2
aacolokh-1,3
aacpbina-1,2
aacpdnml-1,3
aacpfmom-1,2
aadbimld-1,3
aadcbebb-1,8
aadclcpp-1,7
aaddcjjc-1,3
aadddlch-1,2
aaddgddg-1,1
aaddhail-1,1
aadeahnf-1,1
aadeihkj-1,10
aadfogab-1,3
aadgclfg-1,3
aadglcen-1,12
aadglclp-1,19
aadhhnmk-1,20
aadhjeif-1,12
aadicpag-1,3
aadijeip-1,10
aadjleao-1,2
aadkaedc-1,1
aadkbegi-1,25
aadkkhpc-1,2
aadlbbca-1,8
aadllgga-1,2
aadlmkbo-1,4
aadlpbia-1,8
aadmjhij-1,8
aadncdga-1,9
aadncopm-1,8
aadnhkik-1,12
aadnikfm-1,8
aadnlnef-1,7
aadobonn-1,7
aadokdjm-1,12
aadpnfmk-1,8
aaeahkob-1,7
aaeaibjh-1,4
aaeailca-1,25
aaeamooc-1,8
aaebkkfg-1,1
aaebkomc-1,2
aaebmjai-1,8
aaebmldd-1,8
aaeboaab-1,8
aaecgdbe-1,4
aaecjjna-1,2
aaedcell-1,8
aaedcmdj-1,9
aaeddpnc-1,7
aaedjmhp-1,8
aaedllnp-1,8
aaeejfck-1,8
aaegajhm-1,7
aaeggoko-1,7
aaeglppn-1,26
aaegojio-1,8
aaegpcch-1,8
aaeicmlf-1,8
aaeiemmi-1,7
aaeigomn-1,8
aaeihdfo-1,2
aaeihghb-1,7
aaeikakc-1,8
aaeilnhi-1,9
aaejaonc-1,7
aaejklkb-1,8
aaejlpce-1,8
aaejndbh-1,8
aaejpgpl-1,8
aaekcgja-1,25
aaekhcam-1,25
aaekpekj-1,8
aaelacnh-1,7
aaelaiea-1,3
