slide,core_id,sample_group,n_cells,core_area_um2,cell_density_per_mm2,tissue_area_um2,tissue_density_per_mm2,median_transcripts,median_genes,median_cell_area_um2,pct_low_quality,pct_control_counts,pass_ncells,pass_transcripts,pass_density,qc_pass_raw,pct_cancer,pct_immune,pct_stroma,n_celltypes,pass_cancer_pct,pass_celltypes,content_flag,analysis_include,exclude_reason
TMA1,C3,mibc,13857,8386512.2,1652.3,5087500.0,2723.73,124.0,47.0,129.33,0.67,0.175,True,True,True,True,27.7,15.6,51.5,16,True,True,False,True,
TMA1,C4,dcis,19192,8959376.4,2142.11,5545000.0,3461.14,131.0,46.0,103.0,0.48,0.115,True,True,True,True,35.2,33.1,28.8,16,True,True,False,True,
TMA1,C5,mibc,13549,5933103.9,2283.63,3107500.0,4360.1,218.0,78.0,113.61,0.08,0.111,True,True,True,True,21.9,45.9,31.0,15,True,True,False,True,
TMA1,C6,dcis,24449,7387765.0,3309.39,3697500.0,6612.31,103.0,49.0,56.67,0.15,0.074,True,True,True,True,5.2,83.2,11.0,16,True,True,False,True,
TMA1,C7,dcis,12284,7099775.5,1730.2,3572500.0,3438.49,257.0,77.0,119.8,0.46,0.075,True,True,True,True,38.6,35.9,23.9,16,True,True,False,True,
TMA1,C8,dcis,31010,8251213.4,3758.24,5500000.0,5638.18,256.0,82.0,102.39,0.25,0.056,True,True,True,True,32.1,32.3,35.1,15,True,True,False,True,
TMA1,C9,mibc,7380,6612977.8,1115.99,2850000.0,2589.47,110.0,43.0,112.33,2.17,0.057,True,True,True,True,11.9,34.6,45.9,16,True,True,False,True,
TMA1,D3,mibc,13873,7117980.0,1949.01,3925000.0,3534.52,95.0,42.0,92.3,1.62,0.149,True,True,True,True,3.8,54.8,37.0,16,True,True,False,True,
TMA1,D4,mibc,8230,5705990.7,1442.34,1875000.0,4389.33,87.0,35.0,95.51,1.24,0.234,True,True,True,True,0.9,39.0,20.1,16,False,True,True,False,content: 0.9% tumor cells
TMA1,D5,dcis,12778,7214979.9,1771.04,4097500.0,3118.49,183.0,68.0,116.14,0.2,0.101,True,True,True,True,10.4,44.1,42.8,16,True,True,False,True,
TMA1,D6,mibc,22553,6924235.4,3257.11,4352500.0,5181.62,59.0,25.0,97.22,4.38,0.058,True,True,True,True,29.8,20.8,17.6,16,True,True,False,True,
TMA1,D7,dcis,4033,2745139.5,1469.14,677500.0,5952.77,114.0,54.0,60.96,0.92,0.031,True,True,True,True,9.5,76.4,12.7,15,True,True,False,True,
TMA1,D8,mibc,3963,6786202.0,583.98,2465000.0,1607.71,0.0,0.0,105.58,75.42,0.052,True,False,True,False,0.2,7.7,17.7,12,False,True,True,False,technical: median 0 transcripts/cell
TMA1,D9,mibc,8496,6812663.7,1247.09,3512500.0,2418.79,153.0,57.0,125.69,0.49,0.029,True,True,True,True,12.0,42.4,44.0,16,True,True,False,True,
TMA1,E3,dcis,24511,8254464.2,2969.42,4655000.0,5265.52,115.0,49.0,73.33,0.2,0.061,True,True,True,True,7.3,61.5,28.0,16,True,True,False,True,
TMA1,E4,dcis,30946,7313548.9,4231.32,4487500.0,6896.04,151.0,68.0,75.59,0.13,0.078,True,True,True,True,11.8,71.1,16.6,16,True,True,False,True,
TMA1,E5,mibc,9362,7641360.9,1225.17,4215000.0,2221.12,57.0,22.0,131.68,2.94,0.019,True,True,True,True,6.0,24.0,52.5,16,True,True,False,True,
TMA1,E6,mibc,19892,7161996.0,2777.44,4462500.0,4457.59,105.0,43.0,101.33,0.69,0.037,True,True,True,True,8.7,67.6,20.6,15,True,True,False,True,
TMA1,E7,mibc,16085,10127420.1,1588.26,5610000.0,2867.2,117.0,47.0,111.58,2.28,0.058,True,True,True,True,16.1,49.9,24.6,16,True,True,False,True,
TMA1,E8,mibc,21304,9888973.0,2154.32,5622500.0,3789.06,178.0,68.0,95.1,0.5,0.045,True,True,True,True,6.1,62.2,30.4,16,True,True,False,True,
TMA1,E9,dcis,16217,7740023.1,2095.21,3852500.0,4209.47,81.0,32.0,98.53,1.92,0.071,True,True,True,True,15.2,40.4,19.3,16,True,True,False,True,
TMA2,C4,dcis,4161,8708841.3,477.79,2022500.0,2057.35,103.0,41.0,120.7,2.38,0.044,True,True,True,True,22.3,43.5,33.7,17,True,True,False,True,
TMA2,C5,mibc,9122,10976814.9,831.02,3612500.0,2525.12,122.0,53.0,109.98,2.1,0.078,True,True,True,True,11.2,53.8,34.6,17,True,True,False,True,
TMA2,C6,dcis,8039,7601159.6,1057.6,2615000.0,3074.19,112.0,46.0,97.99,0.62,0.04,True,True,True,True,16.3,34.5,49.1,17,True,True,False,True,
TMA2,C7,dcis,3182,6034454.2,527.31,2145000.0,1483.45,127.0,48.0,140.46,1.38,0.07,True,True,True,True,28.3,30.9,40.7,15,True,True,False,True,
TMA2,C8,mibc,12789,8088672.2,1581.1,3675000.0,3480.0,93.0,39.0,104.72,0.89,0.029,True,True,True,True,18.3,46.7,35.0,17,True,True,False,True,
TMA2,C9,mibc,8156,5566135.8,1465.29,2687500.0,3034.79,68.0,31.0,98.87,1.99,0.033,True,True,True,True,7.8,52.9,39.1,16,True,True,False,True,
TMA2,D3,dcis,1809,4676823.5,386.8,1047500.0,1726.97,144.0,56.0,118.81,6.91,0.077,True,True,True,True,15.8,37.9,44.4,15,True,True,False,True,
TMA2,D4,mibc,10544,6372893.2,1654.51,3390000.0,3110.32,218.0,70.0,113.52,0.13,0.076,True,True,True,True,18.3,30.7,51.1,16,True,True,False,True,
TMA2,D5,mibc,21939,6499345.9,3375.57,4112500.0,5334.71,266.0,84.0,100.25,0.08,0.068,True,True,True,True,24.7,41.4,33.9,16,True,True,False,True,
TMA2,D6,mibc,9379,6039919.0,1552.84,2697500.0,3476.92,260.0,88.0,102.5,0.29,0.079,True,True,True,True,27.3,43.6,29.1,17,True,True,False,True,
TMA2,D7,mibc,25772,7349710.0,3506.53,3875000.0,6650.84,33.0,18.0,71.71,12.87,0.057,True,True,True,True,6.7,31.6,61.4,16,True,True,False,True,
TMA2,D8,mibc,9660,7474348.6,1292.42,3032500.0,3185.49,78.0,34.0,99.75,9.87,0.083,True,True,True,True,14.6,37.2,47.2,15,True,True,False,True,
