leiden,n_cells,pct_cancer,pct_immune,pct_stroma,pct_other,dominant_prev_celltype,dominant_prev_pct,top10_markers,new_celltype,notes
0,103102,0.9,97.7,1.3,0.1,NKT,56.2,"CD3E, TRAC, PTPRC, IL7R, IL2RG, CXCR4, CD247, CD3G, CD3D, FCMR",,
1,58750,0.2,4.5,93.8,1.5,endothelial cell,90.4,"AQP1, PECAM1, CD93, VWF, CAV1, SOCS3, CLEC14A, MMRN2, RAMP2, ACTA2",,
2,55938,1.6,94.1,4.1,0.2,M2,49.5,"FCER1G, LYZ, FCGR2A, CD4, ITGAX, CSF1R, CD68, AIF1, FGL2, CTSS",,
3,55809,97.1,0.3,1.4,1.2,cancer,97.1,"ERBB2, KRT7, EPCAM, TACSTD2, FOXA1, CDH1, KRT8, MLPH, DSP, TPD52",,
4,52806,40.4,0.4,59.1,0.1,myoepithelial cell,58.2,"TACSTD2, KRT14, DST, KRT5, SOX9, KRT7, DSP, SERPINA3, MYLK, CCND1",,
5,52097,0.2,98.3,0.6,0.9,B,94.4,"MS4A1, BANK1, FCMR, IGHM, CXCR4, TNFRSF13C, CD79A, PTPRC, IRF8, CXCL13",,
6,51219,0.4,7.4,92.1,0.1,CAF,89.4,"LUM, VCAN, C1R, CCDC80, C1S, FN1, MMP2, FBLN1, CRISPLD2, CXCL12",,
7,44364,1.4,22.4,49.9,26.3,CAF,47.6,"FLT3LG, CCDC80, SFRP4, UCP1, IFNL1, GZMK, PDCD1, IL12B, CEACAM8, IL4",,
8,16426,0.3,98.4,1.1,0.2,plasma cell,95.3,"MZB1, IGHG1, ITM2C, TENT5C, SLAMF7, SEC11C, CD38, PRDM1, CD79A, ERN1",,
9,8559,0.8,72.9,15.8,10.5,mast cell,56.5,"CPA3, TPSAB1, CTSG, KIT, GATA2, FLT3LG, CSF1, CD69, ZEB2, LUM",,
10,8274,91.8,0.3,7.2,0.7,cancer,91.8,"ESR1, FLNB, GATA3, MLPH, AGR3, KRT8, PGR, SERPINA3, TACSTD2, SDC4",,
11,6324,0.4,91.6,4.0,4.0,plasma cell,30.3,"LILRA4, IRF8, IL3RA, PTGDS, ITM2C, CD4, PLD4, ERN1, SPIB, SELL",,
12,2693,0.9,85.9,7.6,5.5,M1,20.3,"CLEC9A, IRF8, FGL2, LYZ, IDO1, SLAMF7, ITGAX, BASP1, SERPINB9, HAVCR2",,
13,2417,1.5,17.8,66.6,14.1,CAF,62.1,"ADIPOQ, ADH1B, LPL, PPARG, FLT3LG, SCD, AKR1C1, PDK4, CAV1, TIMP4",,
14,1728,4.7,42.8,50.5,2.0,CAF,40.4,"CCDC80, SFRP4, IFNL1, GZMK, PDCD1, LUM, UCP1, IL12B, CEACAM8, IL13",,
